Employee_ID,Review_Date,Performance_Score
EMP034,2020-10-15,4
EMP006,2023-07-01,5
EMP053,2020-07-14,1
EMP194,2021-08-20,5
EMP126,2025-01-31,2
EMP043,2024-03-25,5
EMP115,2021-05-31,1
EMP111,2024-07-16,2
EMP151,2025-02-08,5
EMP183,2022-05-14,4
EMP080,2023-02-15,2
EMP095,2022-03-16,2
EMP118,2023-03-28,4
EMP144,2022-03-25,3
EMP008,2020-08-15,1
EMP132,2020-08-03,3
EMP104,2022-08-05,5
EMP132,2024-09-15,4
EMP184,2020-01-15,3
EMP025,2023-03-26,2
EMP195,2024-07-29,5
EMP096,2023-07-08,5
EMP195,2023-03-26,3
EMP155,2020-02-16,3
EMP093,2020-11-19,4
EMP160,2022-04-23,1
EMP178,2024-09-04,3
EMP061,2020-05-09,3
EMP122,2023-12-05,2
EMP051,2020-04-04,5
EMP147,2021-09-18,1
EMP021,2022-01-24,2
EMP005,2023-08-08,4
EMP092,2022-03-04,4
EMP170,2025-01-08,3
EMP061,2023-07-30,3
EMP022,2020-03-09,4
EMP149,2024-08-10,3
EMP070,2020-01-11,1
EMP001,2023-07-01,3
EMP133,2025-02-08,5
EMP012,2022-05-21,3
EMP090,2021-07-03,2
EMP046,2023-03-03,1
EMP034,2021-12-12,2
EMP177,2020-01-23,2
EMP078,2022-03-25,5
EMP045,2020-12-11,1
EMP155,2020-10-28,1
EMP073,2020-12-28,1
EMP026,2021-01-30,1
EMP047,2020-08-05,1
EMP121,2020-05-20,5
EMP056,2024-06-27,3
EMP094,2022-08-15,2
EMP107,2023-05-18,1
EMP063,2022-09-11,3
EMP048,2022-09-19,3
EMP061,2024-07-04,2
EMP081,2024-06-27,5
EMP026,2022-04-07,4
EMP036,2021-11-13,4
EMP001,2024-01-23,3
EMP008,2022-09-30,2
EMP113,2020-12-21,4
EMP099,2022-10-04,3
EMP180,2023-09-09,5
EMP047,2023-03-02,4
EMP127,2022-06-06,3
EMP056,2025-01-02,3
EMP014,2025-02-06,1
EMP028,2020-05-06,5
EMP078,2023-02-03,1
EMP130,2022-10-05,2
EMP109,2021-08-26,1
EMP154,2024-12-27,1
EMP014,2023-11-02,4
EMP187,2022-10-10,3
EMP056,2020-02-20,5
EMP115,2022-11-18,1
EMP007,2024-01-25,5
EMP003,2023-08-12,1
EMP111,2023-08-13,2
EMP151,2024-10-15,1
EMP107,2022-02-17,4
EMP018,2023-12-01,3
EMP038,2024-11-27,2
EMP115,2022-03-24,1
EMP015,2024-06-24,5
EMP192,2023-11-29,2
EMP119,2023-10-01,2
EMP028,2024-07-03,1
EMP039,2021-02-23,2
EMP185,2023-04-20,5
EMP017,2022-09-09,2
EMP086,2022-04-04,5
EMP126,2022-10-21,1
EMP044,2025-01-28,3
EMP025,2021-07-20,2
EMP145,2021-01-05,3
EMP013,2022-07-24,5
EMP025,2021-10-22,2
EMP068,2023-12-25,4
EMP138,2022-08-26,3
EMP067,2023-08-25,2
EMP109,2023-03-06,3
EMP146,2020-07-20,2
EMP111,2023-12-30,1
EMP111,2020-11-08,3
EMP034,2020-04-26,4
EMP111,2024-08-16,4
EMP008,2022-07-25,5
EMP168,2024-12-31,2
EMP113,2021-07-28,3
EMP083,2020-08-31,5
EMP042,2021-06-20,3
EMP169,2024-06-13,2
EMP101,2020-03-15,4
EMP006,2025-01-03,1
EMP180,2021-01-20,4
EMP026,2023-05-18,5
EMP064,2021-04-19,1
EMP187,2021-02-21,5
EMP184,2020-12-12,2
EMP059,2024-04-01,1
EMP109,2021-10-01,5
EMP198,2022-07-27,2
EMP121,2022-08-12,4
EMP033,2022-05-25,2
EMP181,2022-02-01,3
EMP150,2023-04-17,2
EMP021,2023-04-20,2
EMP198,2021-10-25,3
EMP070,2020-01-25,5
EMP112,2023-04-18,5
EMP004,2021-12-10,2
EMP094,2024-03-04,3
EMP075,2025-02-22,3
EMP190,2023-03-30,4
EMP062,2020-06-25,5
EMP094,2020-10-11,1
EMP095,2020-03-03,5
EMP152,2022-09-29,5
EMP055,2021-10-23,4
EMP137,2021-10-27,1
EMP131,2020-06-04,4
EMP031,2024-02-01,1
EMP040,2022-12-08,2
EMP036,2022-08-24,1
EMP152,2022-04-28,4
EMP006,2023-01-12,5
EMP066,2023-10-16,1
EMP075,2021-11-19,1
EMP004,2020-05-27,3
EMP079,2024-07-11,5
EMP134,2020-12-07,2
EMP118,2021-04-20,4
EMP113,2022-12-22,2
EMP094,2024-09-20,5
EMP179,2023-10-15,1
EMP062,2021-07-14,1
EMP185,2020-11-22,5
EMP194,2024-11-27,1
EMP079,2024-10-25,1
EMP136,2023-03-10,1
EMP026,2022-09-16,4
EMP179,2020-08-02,4
EMP173,2021-03-10,3
EMP044,2022-08-09,2
EMP133,2021-12-23,5
EMP070,2023-09-03,5
EMP154,2020-02-01,5
EMP118,2021-10-31,3
EMP068,2020-10-11,4
EMP019,2023-08-21,3
EMP020,2021-03-04,5
EMP113,2024-02-09,2
EMP140,2020-10-12,1
EMP047,2023-03-13,4
EMP001,2023-12-18,4
EMP090,2022-11-08,3
EMP142,2020-01-18,4
EMP064,2022-02-07,5
EMP038,2021-08-12,5
EMP037,2023-10-26,3
EMP126,2023-04-13,5
EMP139,2022-10-06,2
EMP100,2020-07-12,3
EMP077,2021-05-16,2
EMP003,2022-09-14,1
EMP161,2023-02-10,2
EMP134,2020-04-23,1
EMP178,2023-05-30,1
EMP010,2024-08-28,2
EMP005,2022-08-04,3
EMP151,2022-04-10,5
EMP138,2024-07-25,5
EMP172,2023-07-11,1
EMP130,2022-07-13,1
EMP013,2020-02-24,3
EMP168,2025-03-09,4
EMP130,2024-07-24,2
EMP084,2022-03-10,1
EMP065,2022-02-16,5
EMP063,2024-01-21,3
EMP101,2020-06-10,2
EMP073,2023-11-04,3
EMP017,2020-03-27,2
EMP009,2020-02-24,2
EMP143,2024-02-08,1
